sep=;
beta;function;useSolarDataProvider
public;function;useSpecificWidgetDef
internal;function;useStatusBarEntry
internal;function;useToolSettingsNode
public;function;useTransientState
public;const;useUiItemsProviderBackstageItems
deprecated;const;useUiItemsProviderBackstageItems
public;const;useUiItemsProviderStatusBarItems
deprecated;const;useUiItemsProviderStatusBarItems
public;const;useUiItemsProviderToolbarItems
deprecated;const;useUiItemsProviderToolbarItems
public;function;useUiStateStorageHandler
internal;function;useUiVisibility
internal;function;useUpdateNineZoneSize
alpha;function;useWidget
internal;function;useWidgetDef
alpha;function;useWidgetDirection
alpha;class;ValidationTextbox
beta;class;ViewAttributesStatusField
public;interface;ViewLayout
internal;function;ViewOverlayHost
public;interface;ViewOverlayProps
public;class;ViewportContentControl
deprecated;class;ViewportContentControl
beta;class;ViewSelector
beta;class;ViewSelectorChangedEvent
deprecated;class;ViewSelectorChangedEvent
beta;interface;ViewSelectorChangedEventArgs
deprecated;interface;ViewSelectorChangedEventArgs
beta;type;ViewSelectorDefaultProps
beta;interface;ViewSelectorProps
public;class;ViewStateHelper
public;interface;ViewStateHelperProps
public;function;ViewToolWidgetComposer
public;interface;ViewToolWidgetComposerProps
deprecated;interface;ViewToolWidgetComposerProps
public;class;ViewUtilities
public;interface;Widget
public;const;WIDGET_OPACITY_DEFAULT
public;interface;WidgetConfig
internal;function;WidgetContent
public;class;WidgetControl
deprecated;class;WidgetControl
public;class;WidgetDef
public;class;WidgetHost
internal;interface;WidgetInfo
public;interface;WidgetLayouts
beta;class;WidgetManager
public;type;WidgetPanelProps
internal;function;WidgetPanelsFrontstage
internal;function;WidgetPanelsFrontstageContent
internal;interface;WidgetPanelsFrontstageState
internal;function;WidgetPanelsStatusBar
internal;function;WidgetPanelsTab
internal;function;WidgetPanelsToolbars
internal;function;WidgetPanelsToolSettings
public;enum;WidgetState
public;class;WidgetStateChangedEvent
deprecated;class;WidgetStateChangedEvent
public;interface;WidgetStateChangedEventArgs
deprecated;interface;WidgetStateChangedEventArgs
public;enum;WidgetType
internal;const;WrapperContext
